i;j;j-coordinate;N_k;Xzz
3;3;(1.0, 4.0, 0.0);216;-0.0023018581831577346
3;3;(4.0, -1.0, 0.0);198;0.0003097219319896223
3;3;(4.0, 1.0, 0.0);207;0.00040249543555162005
3;6;(-3.5, -0.5, 1.5);112;-0.00010620499856421297
3;6;(-3.5, 2.5, 1.5);93;-0.00013976041979379253
3;6;(-1.5, -2.5, 1.5);127;-0.00010176183915098584
3;6;(-1.5, 4.5, 1.5);78;-0.0001968912012965629
3;6;(1.5, -2.5, 1.5);125;-0.0001293180472281951
3;6;(1.5, 4.5, 1.5);78;-0.00048247052327919003
3;6;(3.5, -0.5, 1.5);111;-0.00019844463207067812
3;6;(3.5, 2.5, 1.5);93;-0.0005361303850625399
3;6;(-3.5, -0.5, 0.5);230;-0.0003604284202359563
3;6;(-3.5, 2.5, 0.5);192;-0.00020113408215168948
3;6;(-1.5, -2.5, 0.5);257;-0.0005057400550583896
3;6;(-1.5, 4.5, 0.5);170;-0.0001861375653453514
3;6;(1.5, -2.5, 0.5);257;-0.00044133362830674997
3;6;(1.5, 4.5, 0.5);170;-0.00027982725194549183
3;6;(3.5, -0.5, 0.5);228;-0.0002552144118810966
3;6;(3.5, 2.5, 0.5);190;-0.0002484113313516864
3;4;(-3.0, 0.0, -0.5);218;4.642628939424097e-05
3;4;(-3.0, 0.0, 1.5);129;-7.934843778002337e-06
3;4;(-3.0, 1.0, -0.5);212;6.098279853394123e-05
3;4;(-3.0, 1.0, 1.5);126;-8.219346773858181e-06
3;4;(-1.0, -2.0, -0.5);243;-1.4495051779622442e-05
3;4;(-1.0, -2.0, 1.5);147;2.0305195529863764e-05
3;4;(-1.0, 3.0, -0.5);219;-2.061111537235666e-05
3;4;(-1.0, 3.0, 1.5);128;2.125044553167481e-05
3;4;(0.0, -2.0, -0.5);252;-1.5767268540193442e-05
3;4;(0.0, -2.0, 1.5);153;2.3166038472539395e-05
3;4;(0.0, 3.0, -0.5);228;-1.6133941559905966e-05
3;4;(0.0, 3.0, 1.5);132;2.0341351741085044e-05
3;4;(2.0, 0.0, -0.5);263;3.82957659277944e-05
3;4;(2.0, 0.0, 1.5);157;-8.65242044656785e-06
3;4;(2.0, 1.0, -0.5);258;3.649020216000537e-05
3;4;(2.0, 1.0, 1.5);152;-7.753792817197874e-06
3;3;(-3.0, -3.0, 0.0);184;0.00495940966494958
3;3;(-3.0, 3.0, 0.0);204;0.0040707705487978835
3;3;(3.0, -3.0, 0.0);184;-0.1880247447617157
3;3;(3.0, 3.0, 0.0);205;0.004894733450667429
3;4;(-4.0, -2.0, 0.5);166;0.0011906539837805998
3;4;(-4.0, 3.0, 0.5);152;0.0008897403739404614
3;4;(-3.0, -3.0, 0.5);176;0.0016281168966071164
3;4;(-3.0, 4.0, 0.5);155;0.0009061708780672371
3;4;(2.0, -3.0, 0.5);213;0.0012607510019359812
3;4;(2.0, 4.0, 0.5);182;0.0011611899796250755
3;4;(3.0, -2.0, 0.5);217;0.0013339621566962737
3;4;(3.0, 3.0, 0.5);193;0.001580183397285143
3;5;(-3.5, 0.5, 0.0);242;0.00018080282349610836
3;5;(-3.5, 0.5, 1.0);190;3.053837932101184e-06
3;5;(0.5, -3.5, 0.0);226;2.185875124491241e-05
3;5;(0.5, -3.5, 1.0);181;-0.00035489061075102274
3;5;(0.5, 4.5, 0.0);193;7.978260165527358e-06
3;5;(0.5, 4.5, 1.0);150;-0.0002800818061395851
3;5;(4.5, 0.5, 0.0);181;7.161054533514468e-05
3;5;(4.5, 0.5, 1.0);145;3.2369619826298457e-06
3;3;(-2.0, -2.0, -1.0);138;0.0002273808467252171
3;3;(-2.0, -2.0, 1.0);215;-2.5588133190217396e-05
3;3;(-2.0, 2.0, -1.0);149;0.00045584736168298727
3;3;(-2.0, 2.0, 1.0);227;-2.1649632176827954e-05
3;3;(2.0, -2.0, -1.0);138;0.000288033139870658
3;3;(2.0, -2.0, 1.0);219;-1.9590673569703296e-05
3;3;(2.0, 2.0, -1.0);147;0.00019557067233598593
3;3;(2.0, 2.0, 1.0);230;-2.6109957188039025e-05
3;4;(-3.0, -1.0, -0.5);205;-9.994441324869396e-06
3;4;(-3.0, -1.0, 1.5);124;-4.314175392862031e-06
3;4;(-3.0, 2.0, -0.5);192;-5.564950799656219e-06
3;4;(-3.0, 2.0, 1.5);113;-4.207558298446359e-06
3;4;(-2.0, -2.0, -0.5);216;-1.0224754450611108e-05
3;4;(-2.0, -2.0, 1.5);132;-3.923435114823472e-06
3;4;(-2.0, 3.0, -0.5);195;-6.0465595133807886e-06
3;4;(-2.0, 3.0, 1.5);114;-3.806976375202488e-06
3;4;(1.0, -2.0, -0.5);242;-7.308865939055863e-06
3;4;(1.0, -2.0, 1.5);146;-3.6997587340478647e-06
